OBJECTID,row,column_,LONG,LAT
1,1,1,-88.71176276,42.50220115
2,1,2,-88.7094367,42.50218621
3,1,3,-88.70711064,42.50217122
4,1,4,-88.70478458,42.5021562
5,1,5,-88.70245853,42.50214112
6,1,6,-88.70013247,42.50212601
7,1,7,-88.69780642,42.50211085
8,1,8,-88.69548036,42.50209564
9,1,9,-88.69315431,42.5020804
10,1,10,-88.69082826,42.5020651
11,1,11,-88.68850221,42.50204977
12,1,12,-88.68617616,42.50203439
13,1,13,-88.68385012,42.50201896
14,1,14,-88.68152407,42.5020035
15,1,15,-88.67919802,42.50198798
16,1,16,-88.67687198,42.50197243
17,1,17,-88.67454594,42.50195683
18,1,18,-88.67221989,42.50194118
19,1,19,-88.66989385,42.50192549
20,1,20,-88.66756781,42.50190976
21,1,21,-88.66524177,42.50189398
22,1,22,-88.66291574,42.50187816
23,1,23,-88.6605897,42.5018623
24,1,24,-88.65826366,42.50184639
25,1,25,-88.65593763,42.50183044
26,1,26,-88.6536116,42.50181444
27,1,27,-88.65128556,42.5017984
28,1,28,-88.64895953,42.50178231
29,1,29,-88.6466335,42.50176618
30,1,30,-88.64430747,42.50175001
31,1,31,-88.64198145,42.50173379
32,1,32,-88.63965542,42.50171753
33,1,33,-88.63732939,42.50170123
34,1,34,-88.63500337,42.50168488
35,1,35,-88.63267735,42.50166848
36,1,36,-88.63035132,42.50165205
37,1,37,-88.6280253,42.50163556
38,1,38,-88.62569928,42.50161904
39,1,39,-88.62337327,42.50160247
40,1,40,-88.62104725,42.50158585
41,1,41,-88.61872123,42.5015692
42,1,42,-88.61639522,42.50155249
43,1,43,-88.6140692,42.50153575
44,1,44,-88.61174319,42.50151896
45,1,45,-88.60941718,42.50150213
46,1,46,-88.60709117,42.50148525
47,1,47,-88.60476516,42.50146832
48,1,48,-88.60243915,42.50145136
49,1,49,-88.60011314,42.50143435
50,1,50,-88.59778714,42.50141729
51,1,51,-88.59546113,42.5014002
52,1,52,-88.59313513,42.50138305
53,1,53,-88.59080913,42.50136587
54,1,54,-88.58848313,42.50134864
55,1,55,-88.58615713,42.50133136
56,1,56,-88.58383113,42.50131404
57,1,57,-88.58150513,42.50129668
58,1,58,-88.57917913,42.50127927
59,1,59,-88.57685314,42.50126182
60,1,60,-88.57452714,42.50124433
61,1,61,-88.57220115,42.50122679
62,1,62,-88.56987516,42.5012092
63,1,63,-88.56754917,42.50119158
64,1,64,-88.56522318,42.50117391
65,1,65,-88.56289719,42.50115619
66,1,66,-88.56057121,42.50113843
67,1,67,-88.55824522,42.50112063
68,1,68,-88.55591924,42.50110278
69,1,69,-88.55359325,42.50108489
70,1,70,-88.55126727,42.50106695
71,1,71,-88.54894129,42.50104898
72,1,72,-88.54661531,42.50103095
73,1,73,-88.54428934,42.50101288
74,1,74,-88.54196336,42.50099477
75,1,75,-88.53963738,42.50097662
76,1,76,-88.53731141,42.50095842
77,1,77,-88.53498544,42.50094017
78,1,78,-88.53265947,42.50092189
79,1,79,-88.5303335,42.50090355
80,1,80,-88.52800753,42.50088518
81,1,81,-88.52568156,42.50086676
82,1,82,-88.52335559,42.50084829
83,1,83,-88.52102963,42.50082978
84,1,84,-88.51870366,42.50081123
85,1,85,-88.5163777,42.50079264
86,1,86,-88.51405174,42.500774
87,1,87,-88.51172578,42.50075531
88,1,88,-88.50939982,42.50073658
89,1,89,-88.50707386,42.50071781
90,1,90,-88.5047479,42.50069899
91,1,91,-88.50242195,42.50068013
92,1,92,-88.50009599,42.50066123
93,1,93,-88.49777001,42.50064227
94,1,94,-88.49544403,42.50062327
95,1,95,-88.49311805,42.50060423
96,1,96,-88.49079207,42.50058514
97,1,97,-88.4884661,42.500566
98,1,98,-88.48614012,42.50054683
99,1,99,-88.48381414,42.5005276
100,1,100,-88.48148817,42.50050834
101,1,101,-88.4791622,42.50048903
102,1,102,-88.47683623,42.50046968
103,1,103,-88.47451026,42.50045028
104,1,104,-88.47218429,42.50043084
105,1,105,-88.46985832,42.50041135
106,1,106,-88.46753236,42.50039182
107,1,107,-88.4652064,42.50037225
108,1,108,-88.46288043,42.50035263
109,1,109,-88.46055447,42.50033297
110,1,110,-88.45822851,42.50031326
111,1,111,-88.45590255,42.50029351
112,1,112,-88.4535766,42.50027372
113,1,113,-88.45125064,42.50025388
114,1,114,-88.44892469,42.500234
115,1,115,-88.44659873,42.50021407
116,1,116,-88.44427278,42.5001941
117,1,117,-88.44194683,42.50017408
118,1,118,-88.43962088,42.50015403
119,1,119,-88.43729493,42.50013392
120,1,120,-88.43496899,42.50011378
121,1,121,-88.43264304,42.50009359
122,1,122,-88.4303171,42.50007335
123,1,123,-88.42799116,42.50005307
124,1,124,-88.42566522,42.50003275
125,1,125,-88.42333928,42.50001238
126,1,126,-88.42101334,42.49999197
127,1,127,-88.41868741,42.49997152
128,1,128,-88.41636147,42.49995102
129,1,129,-88.41403554,42.49993048
130,1,130,-88.4117096,42.49990989
131,1,131,-88.40938367,42.49988926
132,1,132,-88.40705775,42.49986858
133,1,133,-88.40473182,42.49984786
134,1,134,-88.40240589,42.4998271
135,1,135,-88.40007997,42.49980629
136,1,136,-88.39775404,42.49978544
137,1,137,-88.39542812,42.49976454
138,1,138,-88.3931022,42.4997436
139,1,139,-88.39077628,42.49972262
140,1,140,-88.38845036,42.49970159
141,1,141,-88.38612445,42.49968052
142,1,142,-88.38379853,42.49965941
143,1,143,-88.38147262,42.49963825
144,1,144,-88.37914671,42.49961704
145,1,145,-88.3768208,42.4995958
146,1,146,-88.37449489,42.4995745
147,1,147,-88.37216898,42.49955317
148,1,148,-88.36984308,42.49953179
149,1,149,-88.36751717,42.49951036
150,1,150,-88.36519127,42.49948889
151,1,151,-88.36286537,42.49946738
152,1,152,-88.36053947,42.49944583
153,1,153,-88.35821357,42.49942423
154,1,154,-88.35588767,42.49940258
155,1,155,-88.35356178,42.49938089
156,1,156,-88.35123588,42.49935916
157,1,157,-88.34890999,42.49933738
158,1,158,-88.3465841,42.49931556
159,1,159,-88.34425821,42.4992937
160,1,160,-88.34193232,42.49927179
161,1,161,-88.33960644,42.49924984
162,1,162,-88.33728055,42.49922784
163,1,163,-88.33495467,42.4992058
164,1,164,-88.33262879,42.49918372
165,1,165,-88.33030291,42.49916159
166,1,166,-88.32797703,42.49913941
167,1,167,-88.32565115,42.4991172
168,1,168,-88.32332527,42.49909494
169,1,169,-88.3209994,42.49907263
170,1,170,-88.31867353,42.49905028
171,1,171,-88.31634766,42.49902789
172,1,172,-88.31402179,42.49900545
173,1,173,-88.31169592,42.49898297
174,1,174,-88.30937005,42.49896044
175,1,175,-88.30704419,42.49893788
176,1,176,-88.30471832,42.49891526
177,1,177,-88.30239246,42.4988926
178,1,178,-88.3000666,42.4988699
179,1,179,-88.29774074,42.49884716
180,1,180,-88.29541488,42.49882437
181,1,181,-88.29308903,42.49880153
182,1,182,-88.29076317,42.49877866
183,1,183,-88.28843732,42.49875573
184,1,184,-88.28611147,42.49873277
185,1,185,-88.28378562,42.49870976
186,1,186,-88.28145977,42.49868671
187,1,187,-88.27913393,42.49866361
188,1,188,-88.27680808,42.49864047
189,1,189,-88.27448224,42.49861728
190,1,190,-88.2721564,42.49859405
191,1,191,-88.26983056,42.49857078
192,1,192,-88.26750472,42.49854746
193,1,193,-88.26517889,42.49852409
194,1,194,-88.26285305,42.49850069
195,1,195,-88.26052722,42.49847724
196,1,196,-88.25820139,42.49845374
197,1,197,-88.25587556,42.49843021
198,1,198,-88.25354973,42.49840662
199,1,199,-88.2512239,42.498383
200,1,200,-88.24889807,42.49835933
201,1,201,-88.24657223,42.49833562
202,1,202,-88.2442464,42.49831186
203,1,203,-88.24192057,42.49828806
204,1,204,-88.23959473,42.49826422
205,1,205,-88.2372689,42.49824033
206,1,206,,42.4982164
207,1,207,,42.49819243
208,1,208,,42.49816841
209,1,209,,42.49814434
210,1,210,,42.49812023
211,1,211,,42.49809608
212,1,212,,42.49807189
213,1,213,,42.49804765
214,1,214,,42.49802336
215,1,215,,42.49799904
216,1,216,,42.49797466
217,1,217,,42.49795025
218,1,218,,42.49792579
219,1,219,,42.49790128
220,1,220,,42.49787674
221,1,221,,42.49785214
222,1,222,,42.49782751
223,1,223,,42.49780283
224,1,224,,42.4977781
225,1,225,,42.49775334
